State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,latitude,longitude
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-002,NEAR OPOTUS COMPOUND II,84.0,341.0,True,-1.0,False,True,False,False,UNKNOWN,37.0,0.0,21.0,20.0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72146/result_140655_1677581753_thumb.jpg,,
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-005,LGEA SCHOOL OZURI I,149.0,493.0,True,-1.0,True,False,False,False,UNKNOWN,42.0,1.0,54.0,0.0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72149/result_140658_1677582088_thumb.jpg,,
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-008,OPPOSITE AJOGE'S HOUSE,134.0,590.0,True,-1.0,False,False,False,False,UNKNOWN,50.0,18.0,92.0,5.0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72152/result_140661_1677582390_thumb.jpg,,
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-010,FRONT OF VICTORY PRINTING OKUNCHI I,136.0,567.0,True,-1.0,False,False,False,False,UNKNOWN,53.0,4.0,55.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72850/72850-1677761043.pdf,,
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-011,FRONT OF VICTORY PRINTING OKUNCHI II,116.0,433.0,True,-1.0,False,False,False,False,UNKNOWN,53.0,4.0,55.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72851/72851-1677665528.pdf,,
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-012,LGEA SCHOOL OKUNCHI I,97.0,467.0,True,-1.0,False,False,False,False,UNKNOWN,42.0,1.0,54.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72852/72852-1677606651.pdf,,
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-015,LGEA SCHOOL OKUNCHI,78.0,370.0,True,-1.0,False,False,False,False,UNKNOWN,33.0,1.0,44.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72855/72855-1677607701.pdf,,
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-016,GDSS OKUNCHI,107.0,421.0,True,-1.0,False,False,False,False,UNKNOWN,58.0,3.0,44.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72856/72856-1677665078.pdf,,
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-020,OPEN SPACE NEAR DANSULE'S COMPOUND,113.0,449.0,True,-1.0,True,False,False,False,UNKNOWN,41.0,0.0,68.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72860/72860-1677664326.pdf,,
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-023,ANYOKE-EBA,111.0,417.0,True,-1.0,True,True,False,False,UNKNOWN,59.0,0.0,46.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72863/72863-1677666043.pdf,,
